Source,Target,Story
Tenth Doctor,Jackie Tyler,The_Age_of_Steel_(TV_story)
Tenth Doctor,John Lumic,The_Age_of_Steel_(TV_story)
Rose Tyler,Mickey Smith,The_Age_of_Steel_(TV_story)
Rose Tyler,Pete Tyler (Pete's World),The_Age_of_Steel_(TV_story)
Rose Tyler,Jake Simmonds,The_Age_of_Steel_(TV_story)
Rose Tyler,Ricky Smith,The_Age_of_Steel_(TV_story)
Rose Tyler,Jackie Tyler,The_Age_of_Steel_(TV_story)
Rose Tyler,John Lumic,The_Age_of_Steel_(TV_story)
Mickey Smith,Pete Tyler (Pete's World),The_Age_of_Steel_(TV_story)
Mickey Smith,Jake Simmonds,The_Age_of_Steel_(TV_story)
Mickey Smith,Ricky Smith,The_Age_of_Steel_(TV_story)
Mickey Smith,Jackie Tyler,The_Age_of_Steel_(TV_story)
Mickey Smith,John Lumic,The_Age_of_Steel_(TV_story)
Pete Tyler (Pete's World),Jake Simmonds,The_Age_of_Steel_(TV_story)
Pete Tyler (Pete's World),Ricky Smith,The_Age_of_Steel_(TV_story)
Pete Tyler (Pete's World),Jackie Tyler,The_Age_of_Steel_(TV_story)
Pete Tyler (Pete's World),John Lumic,The_Age_of_Steel_(TV_story)
Jake Simmonds,Ricky Smith,The_Age_of_Steel_(TV_story)
Jake Simmonds,Jackie Tyler,The_Age_of_Steel_(TV_story)
Jake Simmonds,John Lumic,The_Age_of_Steel_(TV_story)
Ricky Smith,Jackie Tyler,The_Age_of_Steel_(TV_story)
Ricky Smith,John Lumic,The_Age_of_Steel_(TV_story)
Jackie Tyler,John Lumic,The_Age_of_Steel_(TV_story)
Tenth Doctor,Rose Tyler,The_Idiot%27s_Lantern_(TV_story)
Tenth Doctor,The Wire,The_Idiot%27s_Lantern_(TV_story)
Rose Tyler,The Wire,The_Idiot%27s_Lantern_(TV_story)
Tenth Doctor,Rose Tyler,The_Impossible_Planet_(TV_story)
Tenth Doctor,The Beast (The Impossible Planet),The_Impossible_Planet_(TV_story)
Rose Tyler,The Beast (The Impossible Planet),The_Impossible_Planet_(TV_story)
Tenth Doctor,Rose Tyler,The_Satan_Pit_(TV_story)
Tenth Doctor,The Beast (The Impossible Planet),The_Satan_Pit_(TV_story)
Rose Tyler,The Beast (The Impossible Planet),The_Satan_Pit_(TV_story)
Jackie Tyler,Tenth Doctor,Love_%26_Monsters_(TV_story)
Jackie Tyler,Rose Tyler,Love_%26_Monsters_(TV_story)
Jackie Tyler,Abzorbaloff,Love_%26_Monsters_(TV_story)
Tenth Doctor,Rose Tyler,Love_%26_Monsters_(TV_story)
Tenth Doctor,Abzorbaloff,Love_%26_Monsters_(TV_story)
Rose Tyler,Abzorbaloff,Love_%26_Monsters_(TV_story)
Tenth Doctor,Rose Tyler,Fear_Her_(TV_story)
Tenth Doctor,Chloe Webber's father,Fear_Her_(TV_story)
Rose Tyler,Chloe Webber's father,Fear_Her_(TV_story)
Tenth Doctor,Rose Tyler,Army_of_Ghosts_(TV_story)
Tenth Doctor,Jackie Tyler,Army_of_Ghosts_(TV_story)
Tenth Doctor,Mickey Smith,Army_of_Ghosts_(TV_story)
Tenth Doctor,Yvonne Hartman,Army_of_Ghosts_(TV_story)
Tenth Doctor,Cyber-Leader One,Army_of_Ghosts_(TV_story)
Rose Tyler,Jackie Tyler,Army_of_Ghosts_(TV_story)
Rose Tyler,Mickey Smith,Army_of_Ghosts_(TV_story)
Rose Tyler,Yvonne Hartman,Army_of_Ghosts_(TV_story)
Rose Tyler,Cyber-Leader One,Army_of_Ghosts_(TV_story)
Jackie Tyler,Mickey Smith,Army_of_Ghosts_(TV_story)
Jackie Tyler,Yvonne Hartman,Army_of_Ghosts_(TV_story)
Jackie Tyler,Cyber-Leader One,Army_of_Ghosts_(TV_story)
Mickey Smith,Yvonne Hartman,Army_of_Ghosts_(TV_story)
Mickey Smith,Cyber-Leader One,Army_of_Ghosts_(TV_story)
Yvonne Hartman,Cyber-Leader One,Army_of_Ghosts_(TV_story)
Tenth Doctor,Rose Tyler,Doomsday_(TV_story)
Tenth Doctor,Mickey Smith,Doomsday_(TV_story)
Tenth Doctor,Jackie Tyler,Doomsday_(TV_story)
Tenth Doctor,Pete Tyler (Pete's World),Doomsday_(TV_story)
Tenth Doctor,Jake Simmonds,Doomsday_(TV_story)
Tenth Doctor,Yvonne Hartman,Doomsday_(TV_story)
Tenth Doctor,Donna Noble,Doomsday_(TV_story)
Tenth Doctor,Dalek Sec,Doomsday_(TV_story)
Rose Tyler,Mickey Smith,Doomsday_(TV_story)
Rose Tyler,Jackie Tyler,Doomsday_(TV_story)
Rose Tyler,Pete Tyler (Pete's World),Doomsday_(TV_story)
Rose Tyler,Jake Simmonds,Doomsday_(TV_story)
Rose Tyler,Yvonne Hartman,Doomsday_(TV_story)
Rose Tyler,Donna Noble,Doomsday_(TV_story)
Rose Tyler,Dalek Sec,Doomsday_(TV_story)
Mickey Smith,Jackie Tyler,Doomsday_(TV_story)
Mickey Smith,Pete Tyler (Pete's World),Doomsday_(TV_story)
Mickey Smith,Jake Simmonds,Doomsday_(TV_story)
Mickey Smith,Yvonne Hartman,Doomsday_(TV_story)
Mickey Smith,Donna Noble,Doomsday_(TV_story)
Mickey Smith,Dalek Sec,Doomsday_(TV_story)
Jackie Tyler,Pete Tyler (Pete's World),Doomsday_(TV_story)
Jackie Tyler,Jake Simmonds,Doomsday_(TV_story)
Jackie Tyler,Yvonne Hartman,Doomsday_(TV_story)
Jackie Tyler,Donna Noble,Doomsday_(TV_story)
Jackie Tyler,Dalek Sec,Doomsday_(TV_story)
Pete Tyler (Pete's World),Jake Simmonds,Doomsday_(TV_story)
Pete Tyler (Pete's World),Yvonne Hartman,Doomsday_(TV_story)
Pete Tyler (Pete's World),Donna Noble,Doomsday_(TV_story)
Pete Tyler (Pete's World),Dalek Sec,Doomsday_(TV_story)
Jake Simmonds,Yvonne Hartman,Doomsday_(TV_story)
Jake Simmonds,Donna Noble,Doomsday_(TV_story)
Jake Simmonds,Dalek Sec,Doomsday_(TV_story)
Yvonne Hartman,Donna Noble,Doomsday_(TV_story)
Yvonne Hartman,Dalek Sec,Doomsday_(TV_story)
Donna Noble,Dalek Sec,Doomsday_(TV_story)
Tenth Doctor,Donna Noble,The_Runaway_Bride_(TV_story)
Tenth Doctor,Sylvia Noble,The_Runaway_Bride_(TV_story)
Tenth Doctor,Empress of the Racnoss (The Runaway Bride),The_Runaway_Bride_(TV_story)
Donna Noble,Sylvia Noble,The_Runaway_Bride_(TV_story)
Donna Noble,Empress of the Racnoss (The Runaway Bride),The_Runaway_Bride_(TV_story)
Sylvia Noble,Empress of the Racnoss (The Runaway Bride),The_Runaway_Bride_(TV_story)
Tenth Doctor,Martha Jones,Smith_and_Jones_(TV_story)
Tenth Doctor,Tish Jones,Smith_and_Jones_(TV_story)
Tenth Doctor,Leo Jones,Smith_and_Jones_(TV_story)
Tenth Doctor,Francine Jones,Smith_and_Jones_(TV_story)
Tenth Doctor,Clive Jones,Smith_and_Jones_(TV_story)
Tenth Doctor,Florence Finnegan,Smith_and_Jones_(TV_story)
