Source,Target,Story
Ian Chesterton,Supreme Controller (The Dalek Invasion of Earth),The_Dalek_Invasion_of_Earth_(TV_story)
Barbara Wright,Supreme Controller (The Dalek Invasion of Earth),The_Dalek_Invasion_of_Earth_(TV_story)
First Doctor,Ian Chesterton,The_Rescue_(TV_story)
First Doctor,Barbara Wright,The_Rescue_(TV_story)
First Doctor,Vicki Pallister,The_Rescue_(TV_story)
First Doctor,Bennett (The Rescue),The_Rescue_(TV_story)
Ian Chesterton,Barbara Wright,The_Rescue_(TV_story)
Ian Chesterton,Vicki Pallister,The_Rescue_(TV_story)
Ian Chesterton,Bennett (The Rescue),The_Rescue_(TV_story)
Barbara Wright,Vicki Pallister,The_Rescue_(TV_story)
Barbara Wright,Bennett (The Rescue),The_Rescue_(TV_story)
Vicki Pallister,Bennett (The Rescue),The_Rescue_(TV_story)
First Doctor,Ian Chesterton,The_Romans_(TV_story)
First Doctor,Barbara Wright,The_Romans_(TV_story)
First Doctor,Vicki Pallister,The_Romans_(TV_story)
First Doctor,Nero,The_Romans_(TV_story)
Ian Chesterton,Barbara Wright,The_Romans_(TV_story)
Ian Chesterton,Vicki Pallister,The_Romans_(TV_story)
Ian Chesterton,Nero,The_Romans_(TV_story)
Barbara Wright,Vicki Pallister,The_Romans_(TV_story)
Barbara Wright,Nero,The_Romans_(TV_story)
Vicki Pallister,Nero,The_Romans_(TV_story)
First Doctor,Ian Chesterton,The_Web_Planet_(TV_story)
First Doctor,Barbara Wright,The_Web_Planet_(TV_story)
First Doctor,Vicki Pallister,The_Web_Planet_(TV_story)
First Doctor,Animus,The_Web_Planet_(TV_story)
Ian Chesterton,Barbara Wright,The_Web_Planet_(TV_story)
Ian Chesterton,Vicki Pallister,The_Web_Planet_(TV_story)
Ian Chesterton,Animus,The_Web_Planet_(TV_story)
Barbara Wright,Vicki Pallister,The_Web_Planet_(TV_story)
Barbara Wright,Animus,The_Web_Planet_(TV_story)
Vicki Pallister,Animus,The_Web_Planet_(TV_story)
First Doctor,Ian Chesterton,The_Crusade_(TV_story)
First Doctor,Barbara Wright,The_Crusade_(TV_story)
First Doctor,Vicki Pallister,The_Crusade_(TV_story)
First Doctor,El Akir,The_Crusade_(TV_story)
Ian Chesterton,Barbara Wright,The_Crusade_(TV_story)
Ian Chesterton,Vicki Pallister,The_Crusade_(TV_story)
Ian Chesterton,El Akir,The_Crusade_(TV_story)
Barbara Wright,Vicki Pallister,The_Crusade_(TV_story)
Barbara Wright,El Akir,The_Crusade_(TV_story)
Vicki Pallister,El Akir,The_Crusade_(TV_story)
First Doctor,Ian Chesterton,The_Space_Museum_(TV_story)
First Doctor,Barbara Wright,The_Space_Museum_(TV_story)
First Doctor,Vicki Pallister,The_Space_Museum_(TV_story)
First Doctor,Morok,The_Space_Museum_(TV_story)
Ian Chesterton,Barbara Wright,The_Space_Museum_(TV_story)
Ian Chesterton,Vicki Pallister,The_Space_Museum_(TV_story)
Ian Chesterton,Morok,The_Space_Museum_(TV_story)
Barbara Wright,Vicki Pallister,The_Space_Museum_(TV_story)
Barbara Wright,Morok,The_Space_Museum_(TV_story)
Vicki Pallister,Morok,The_Space_Museum_(TV_story)
First Doctor,Ian Chesterton,The_Chase_(TV_story)
First Doctor,Barbara Wright,The_Chase_(TV_story)
First Doctor,Vicki Pallister,The_Chase_(TV_story)
First Doctor,Steven Taylor,The_Chase_(TV_story)
First Doctor,Mechonoid,The_Chase_(TV_story)
First Doctor,Black Dalek Leader,The_Chase_(TV_story)
Ian Chesterton,Barbara Wright,The_Chase_(TV_story)
Ian Chesterton,Vicki Pallister,The_Chase_(TV_story)
Ian Chesterton,Steven Taylor,The_Chase_(TV_story)
Ian Chesterton,Mechonoid,The_Chase_(TV_story)
Ian Chesterton,Black Dalek Leader,The_Chase_(TV_story)
Barbara Wright,Vicki Pallister,The_Chase_(TV_story)
Barbara Wright,Steven Taylor,The_Chase_(TV_story)
Barbara Wright,Mechonoid,The_Chase_(TV_story)
Barbara Wright,Black Dalek Leader,The_Chase_(TV_story)
Vicki Pallister,Steven Taylor,The_Chase_(TV_story)
Vicki Pallister,Mechonoid,The_Chase_(TV_story)
Vicki Pallister,Black Dalek Leader,The_Chase_(TV_story)
Steven Taylor,Mechonoid,The_Chase_(TV_story)
Steven Taylor,Black Dalek Leader,The_Chase_(TV_story)
Mechonoid,Black Dalek Leader,The_Chase_(TV_story)
First Doctor,Vicki Pallister,The_Time_Meddler_(TV_story)
First Doctor,Steven Taylor,The_Time_Meddler_(TV_story)
First Doctor,The Monk,The_Time_Meddler_(TV_story)
Vicki Pallister,Steven Taylor,The_Time_Meddler_(TV_story)
Vicki Pallister,The Monk,The_Time_Meddler_(TV_story)
Steven Taylor,The Monk,The_Time_Meddler_(TV_story)
First Doctor,Vicki Pallister,Galaxy_4_(TV_story)
First Doctor,Steven Taylor,Galaxy_4_(TV_story)
First Doctor,Rill,Galaxy_4_(TV_story)
First Doctor,Maaga,Galaxy_4_(TV_story)
Vicki Pallister,Steven Taylor,Galaxy_4_(TV_story)
Vicki Pallister,Rill,Galaxy_4_(TV_story)
Vicki Pallister,Maaga,Galaxy_4_(TV_story)
Steven Taylor,Rill,Galaxy_4_(TV_story)
Steven Taylor,Maaga,Galaxy_4_(TV_story)
Rill,Maaga,Galaxy_4_(TV_story)
Jeff Garvey,Black Dalek Leader,Mission_to_the_Unknown_(TV_story)
First Doctor,Vicki Pallister,The_Myth_Makers_(TV_story)
First Doctor,Steven Taylor,The_Myth_Makers_(TV_story)
First Doctor,Katarina,The_Myth_Makers_(TV_story)
First Doctor,Cassandra (The Myth Makers),The_Myth_Makers_(TV_story)
First Doctor,Odysseus,The_Myth_Makers_(TV_story)
Vicki Pallister,Steven Taylor,The_Myth_Makers_(TV_story)
Vicki Pallister,Katarina,The_Myth_Makers_(TV_story)
Vicki Pallister,Cassandra (The Myth Makers),The_Myth_Makers_(TV_story)
Vicki Pallister,Odysseus,The_Myth_Makers_(TV_story)
Steven Taylor,Katarina,The_Myth_Makers_(TV_story)
Steven Taylor,Cassandra (The Myth Makers),The_Myth_Makers_(TV_story)
Steven Taylor,Odysseus,The_Myth_Makers_(TV_story)
Katarina,Cassandra (The Myth Makers),The_Myth_Makers_(TV_story)
Katarina,Odysseus,The_Myth_Makers_(TV_story)
Cassandra (The Myth Makers),Odysseus,The_Myth_Makers_(TV_story)
First Doctor,Steven Taylor,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Katarina,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Sara Kingdom,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Bret Vyon,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,The Monk,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,Katarina,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,Sara Kingdom,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,Bret Vyon,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,The Monk,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
Steven Taylor,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
Katarina,Sara Kingdom,The_Daleks%27_Master_Plan_(TV_story)
Katarina,Bret Vyon,The_Daleks%27_Master_Plan_(TV_story)
Katarina,The Monk,The_Daleks%27_Master_Plan_(TV_story)
Katarina,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
Katarina,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
Sara Kingdom,Bret Vyon,The_Daleks%27_Master_Plan_(TV_story)
Sara Kingdom,The Monk,The_Daleks%27_Master_Plan_(TV_story)
Sara Kingdom,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
Sara Kingdom,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
Bret Vyon,The Monk,The_Daleks%27_Master_Plan_(TV_story)
Bret Vyon,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
Bret Vyon,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
The Monk,Black Dalek Leader,The_Daleks%27_Master_Plan_(TV_story)
The Monk,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
Black Dalek Leader,Mavic Chen,The_Daleks%27_Master_Plan_(TV_story)
First Doctor,Steven Taylor,The_Massacre_(TV_story)
First Doctor,Dodo Chaplet,The_Massacre_(TV_story)
First Doctor,Catherine de Medici,The_Massacre_(TV_story)
First Doctor,Gaspard de Saux-Tavannes,The_Massacre_(TV_story)
Steven Taylor,Dodo Chaplet,The_Massacre_(TV_story)
Steven Taylor,Catherine de Medici,The_Massacre_(TV_story)
Steven Taylor,Gaspard de Saux-Tavannes,The_Massacre_(TV_story)
Dodo Chaplet,Catherine de Medici,The_Massacre_(TV_story)
Dodo Chaplet,Gaspard de Saux-Tavannes,The_Massacre_(TV_story)
Catherine de Medici,Gaspard de Saux-Tavannes,The_Massacre_(TV_story)
First Doctor,Steven Taylor,The_Ark_(TV_story)
First Doctor,Dodo Chaplet,The_Ark_(TV_story)
First Doctor,Monoid,The_Ark_(TV_story)
Steven Taylor,Dodo Chaplet,The_Ark_(TV_story)
Steven Taylor,Monoid,The_Ark_(TV_story)
Dodo Chaplet,Monoid,The_Ark_(TV_story)
First Doctor,Steven Taylor,The_Celestial_Toymaker_(TV_story)
First Doctor,Dodo Chaplet,The_Celestial_Toymaker_(TV_story)
First Doctor,Celestial Toymaker,The_Celestial_Toymaker_(TV_story)
Steven Taylor,Dodo Chaplet,The_Celestial_Toymaker_(TV_story)
Steven Taylor,Celestial Toymaker,The_Celestial_Toymaker_(TV_story)
Dodo Chaplet,Celestial Toymaker,The_Celestial_Toymaker_(TV_story)
First Doctor,Steven Taylor,The_Gunfighters_(TV_story)
First Doctor,Dodo Chaplet,The_Gunfighters_(TV_story)
First Doctor,Ike Clanton,The_Gunfighters_(TV_story)
First Doctor,Phineas Clanton,The_Gunfighters_(TV_story)
First Doctor,Billy Clanton,The_Gunfighters_(TV_story)
First Doctor,Seth Harper,The_Gunfighters_(TV_story)
First Doctor,Pa Clanton,The_Gunfighters_(TV_story)
First Doctor,Johnny Ringo,The_Gunfighters_(TV_story)
First Doctor,Template:Disputed,The_Gunfighters_(TV_story)
Steven Taylor,Dodo Chaplet,The_Gunfighters_(TV_story)
Steven Taylor,Ike Clanton,The_Gunfighters_(TV_story)
Steven Taylor,Phineas Clanton,The_Gunfighters_(TV_story)
Steven Taylor,Billy Clanton,The_Gunfighters_(TV_story)
Steven Taylor,Seth Harper,The_Gunfighters_(TV_story)
Steven Taylor,Pa Clanton,The_Gunfighters_(TV_story)
Steven Taylor,Johnny Ringo,The_Gunfighters_(TV_story)
Steven Taylor,Template:Disputed,The_Gunfighters_(TV_story)
Dodo Chaplet,Ike Clanton,The_Gunfighters_(TV_story)
Dodo Chaplet,Phineas Clanton,The_Gunfighters_(TV_story)
Dodo Chaplet,Billy Clanton,The_Gunfighters_(TV_story)
Dodo Chaplet,Seth Harper,The_Gunfighters_(TV_story)
Dodo Chaplet,Pa Clanton,The_Gunfighters_(TV_story)
Dodo Chaplet,Johnny Ringo,The_Gunfighters_(TV_story)
Dodo Chaplet,Template:Disputed,The_Gunfighters_(TV_story)
Ike Clanton,Phineas Clanton,The_Gunfighters_(TV_story)
Ike Clanton,Billy Clanton,The_Gunfighters_(TV_story)
Ike Clanton,Seth Harper,The_Gunfighters_(TV_story)
Ike Clanton,Pa Clanton,The_Gunfighters_(TV_story)
Ike Clanton,Johnny Ringo,The_Gunfighters_(TV_story)
Ike Clanton,Template:Disputed,The_Gunfighters_(TV_story)
Phineas Clanton,Billy Clanton,The_Gunfighters_(TV_story)
Phineas Clanton,Seth Harper,The_Gunfighters_(TV_story)
Phineas Clanton,Pa Clanton,The_Gunfighters_(TV_story)
Phineas Clanton,Johnny Ringo,The_Gunfighters_(TV_story)
Phineas Clanton,Template:Disputed,The_Gunfighters_(TV_story)
Billy Clanton,Seth Harper,The_Gunfighters_(TV_story)
Billy Clanton,Pa Clanton,The_Gunfighters_(TV_story)
Billy Clanton,Johnny Ringo,The_Gunfighters_(TV_story)
Billy Clanton,Template:Disputed,The_Gunfighters_(TV_story)
Seth Harper,Pa Clanton,The_Gunfighters_(TV_story)
Seth Harper,Johnny Ringo,The_Gunfighters_(TV_story)
Seth Harper,Template:Disputed,The_Gunfighters_(TV_story)
Pa Clanton,Johnny Ringo,The_Gunfighters_(TV_story)
Pa Clanton,Template:Disputed,The_Gunfighters_(TV_story)
Johnny Ringo,Template:Disputed,The_Gunfighters_(TV_story)
First Doctor,Steven Taylor,The_Savages_(TV_story)
First Doctor,Dodo Chaplet,The_Savages_(TV_story)
First Doctor,Edal,The_Savages_(TV_story)
Steven Taylor,Dodo Chaplet,The_Savages_(TV_story)
Steven Taylor,Edal,The_Savages_(TV_story)
Dodo Chaplet,Edal,The_Savages_(TV_story)
First Doctor,Dodo Chaplet,The_War_Machines_(TV_story)
First Doctor,Polly Wright,The_War_Machines_(TV_story)
First Doctor,Ben Jackson,The_War_Machines_(TV_story)
First Doctor,WOTAN,The_War_Machines_(TV_story)
Dodo Chaplet,Polly Wright,The_War_Machines_(TV_story)
Dodo Chaplet,Ben Jackson,The_War_Machines_(TV_story)
Dodo Chaplet,WOTAN,The_War_Machines_(TV_story)
Polly Wright,Ben Jackson,The_War_Machines_(TV_story)
Polly Wright,WOTAN,The_War_Machines_(TV_story)
Ben Jackson,WOTAN,The_War_Machines_(TV_story)
First Doctor,Polly Wright,The_Smugglers_(TV_story)
First Doctor,Ben Jackson,The_Smugglers_(TV_story)
First Doctor,Samuel Pike,The_Smugglers_(TV_story)
First Doctor,Cherub (The Smugglers),The_Smugglers_(TV_story)
First Doctor,Edwards (The Smugglers),The_Smugglers_(TV_story)
Polly Wright,Ben Jackson,The_Smugglers_(TV_story)
Polly Wright,Samuel Pike,The_Smugglers_(TV_story)
Polly Wright,Cherub (The Smugglers),The_Smugglers_(TV_story)
Polly Wright,Edwards (The Smugglers),The_Smugglers_(TV_story)
Ben Jackson,Samuel Pike,The_Smugglers_(TV_story)
Ben Jackson,Cherub (The Smugglers),The_Smugglers_(TV_story)
Ben Jackson,Edwards (The Smugglers),The_Smugglers_(TV_story)
Samuel Pike,Cherub (The Smugglers),The_Smugglers_(TV_story)
Samuel Pike,Edwards (The Smugglers),The_Smugglers_(TV_story)
Cherub (The Smugglers),Edwards (The Smugglers),The_Smugglers_(TV_story)
First Doctor,Polly Wright,The_Tenth_Planet_(TV_story)
First Doctor,Ben Jackson,The_Tenth_Planet_(TV_story)
First Doctor,Second Doctor,The_Tenth_Planet_(TV_story)
First Doctor,CyberMondan,The_Tenth_Planet_(TV_story)
First Doctor,Cutler (The Tenth Planet),The_Tenth_Planet_(TV_story)
Polly Wright,Ben Jackson,The_Tenth_Planet_(TV_story)
Polly Wright,Second Doctor,The_Tenth_Planet_(TV_story)
Polly Wright,CyberMondan,The_Tenth_Planet_(TV_story)
Polly Wright,Cutler (The Tenth Planet),The_Tenth_Planet_(TV_story)
Ben Jackson,Second Doctor,The_Tenth_Planet_(TV_story)
Ben Jackson,CyberMondan,The_Tenth_Planet_(TV_story)
Ben Jackson,Cutler (The Tenth Planet),The_Tenth_Planet_(TV_story)
Second Doctor,CyberMondan,The_Tenth_Planet_(TV_story)
Second Doctor,Cutler (The Tenth Planet),The_Tenth_Planet_(TV_story)
CyberMondan,Cutler (The Tenth Planet),The_Tenth_Planet_(TV_story)
Second Doctor,Polly Wright,The_Power_of_the_Daleks_(TV_story)
Second Doctor,Ben Jackson,The_Power_of_the_Daleks_(TV_story)
Second Doctor,Dalek,The_Power_of_the_Daleks_(TV_story)
Second Doctor,Bragen,The_Power_of_the_Daleks_(TV_story)
Second Doctor,Janley,The_Power_of_the_Daleks_(TV_story)
Polly Wright,Ben Jackson,The_Power_of_the_Daleks_(TV_story)
Polly Wright,Dalek,The_Power_of_the_Daleks_(TV_story)
Polly Wright,Bragen,The_Power_of_the_Daleks_(TV_story)
Polly Wright,Janley,The_Power_of_the_Daleks_(TV_story)
Ben Jackson,Dalek,The_Power_of_the_Daleks_(TV_story)
Ben Jackson,Bragen,The_Power_of_the_Daleks_(TV_story)
Ben Jackson,Janley,The_Power_of_the_Daleks_(TV_story)
Dalek,Bragen,The_Power_of_the_Daleks_(TV_story)
Dalek,Janley,The_Power_of_the_Daleks_(TV_story)
Bragen,Janley,The_Power_of_the_Daleks_(TV_story)
Second Doctor,Polly Wright,The_Highlanders_(TV_story)
Second Doctor,Ben Jackson,The_Highlanders_(TV_story)
Second Doctor,Jamie McCrimmon,The_Highlanders_(TV_story)
Second Doctor,Grey (The Highlanders),The_Highlanders_(TV_story)
Polly Wright,Ben Jackson,The_Highlanders_(TV_story)
Polly Wright,Jamie McCrimmon,The_Highlanders_(TV_story)
Polly Wright,Grey (The Highlanders),The_Highlanders_(TV_story)
Ben Jackson,Jamie McCrimmon,The_Highlanders_(TV_story)
Ben Jackson,Grey (The Highlanders),The_Highlanders_(TV_story)
Jamie McCrimmon,Grey (The Highlanders),The_Highlanders_(TV_story)
Second Doctor,Polly Wright,The_Underwater_Menace_(TV_story)
Second Doctor,Ben Jackson,The_Underwater_Menace_(TV_story)
Second Doctor,Jamie McCrimmon,The_Underwater_Menace_(TV_story)
Second Doctor,Zaroff,The_Underwater_Menace_(TV_story)
Polly Wright,Ben Jackson,The_Underwater_Menace_(TV_story)
Polly Wright,Jamie McCrimmon,The_Underwater_Menace_(TV_story)
Polly Wright,Zaroff,The_Underwater_Menace_(TV_story)
Ben Jackson,Jamie McCrimmon,The_Underwater_Menace_(TV_story)
Ben Jackson,Zaroff,The_Underwater_Menace_(TV_story)
Jamie McCrimmon,Zaroff,The_Underwater_Menace_(TV_story)
Second Doctor,Polly Wright,The_Moonbase_(TV_story)
Second Doctor,Ben Jackson,The_Moonbase_(TV_story)
Second Doctor,Jamie McCrimmon,The_Moonbase_(TV_story)
Second Doctor,CyberTelosian,The_Moonbase_(TV_story)
Polly Wright,Ben Jackson,The_Moonbase_(TV_story)
Polly Wright,Jamie McCrimmon,The_Moonbase_(TV_story)
Polly Wright,CyberTelosian,The_Moonbase_(TV_story)
Ben Jackson,Jamie McCrimmon,The_Moonbase_(TV_story)
Ben Jackson,CyberTelosian,The_Moonbase_(TV_story)
Jamie McCrimmon,CyberTelosian,The_Moonbase_(TV_story)
Second Doctor,Polly Wright,The_Macra_Terror_(TV_story)
Second Doctor,Ben Jackson,The_Macra_Terror_(TV_story)
Second Doctor,Jamie McCrimmon,The_Macra_Terror_(TV_story)
Second Doctor,Macra,The_Macra_Terror_(TV_story)
Polly Wright,Ben Jackson,The_Macra_Terror_(TV_story)
Polly Wright,Jamie McCrimmon,The_Macra_Terror_(TV_story)
Polly Wright,Macra,The_Macra_Terror_(TV_story)
Ben Jackson,Jamie McCrimmon,The_Macra_Terror_(TV_story)
Ben Jackson,Macra,The_Macra_Terror_(TV_story)
Jamie McCrimmon,Macra,The_Macra_Terror_(TV_story)
Second Doctor,Polly Wright,The_Faceless_Ones_(TV_story)
Second Doctor,Ben Jackson,The_Faceless_Ones_(TV_story)
Second Doctor,Jamie McCrimmon,The_Faceless_Ones_(TV_story)
Second Doctor,The Director (The Faceless Ones),The_Faceless_Ones_(TV_story)
Second Doctor,Chameleon (humanoid),The_Faceless_Ones_(TV_story)
Polly Wright,Ben Jackson,The_Faceless_Ones_(TV_story)
Polly Wright,Jamie McCrimmon,The_Faceless_Ones_(TV_story)
Polly Wright,The Director (The Faceless Ones),The_Faceless_Ones_(TV_story)
Polly Wright,Chameleon (humanoid),The_Faceless_Ones_(TV_story)
Ben Jackson,Jamie McCrimmon,The_Faceless_Ones_(TV_story)
Ben Jackson,The Director (The Faceless Ones),The_Faceless_Ones_(TV_story)
