Id,Label
Jeanne-Antoinette Poisson,['Featuring']
Jennifer Lucas (Ganger),['Main enemy']
Jenny (The Doctor's Daughter),['Companion(s)']
Jenny Flint,['Featuring']
Jimmy Stalkingwolf,['Companion(s)']
Jocrassa Fel-Fotch Passameer-Day Slitheen,['Main enemy']
John (Knock Knock),['Main enemy']
John Lumic,['Main enemy']
John Polidori,['Featuring']
John Riddell,['Companion(s)']
Journey Blue,['Featuring']
Julius Grayle,['Main enemy']
K9 Mark IV,['Featuring']
Kahler-Jex,['Main enemy']
Kahler-Tek,['Main enemy']
Karabraxos,['Main enemy']
Kasaavin,['Main enemy']
Kate Stewart,['Featuring']
Kazran Sardick,['Companion(s)']
Kenossium,['Featuring']
Klineman Halpen,['Main enemy']
Kovarian,['Main enemy']
Krafayis (Vincent and the Doctor),['Main enemy']
Krasko,['Main enemy']
Krillitane,['Main enemy']
Lassar,['Main enemy']
Leandro,['Main enemy']
Leo Jones,['Featuring']
Lily Arwell,['Companion(s)']
Liz 10,['Featuring']
Lord,['Main enemy']
Lucy Fletcher,['Featuring']
Luke Smith,['Featuring']
Lynda Moss,['Companion(s)']
Mace (The Sontaran Stratagem),['Featuring']
Madge Arwell,['Companion(s)']
Manish,['Main enemy']
Martha Jones,"['Companion(s)', 'Featuring']"
Mary Shelley,['Featuring']
Matron,['Main enemy']
Max Capricorn,['Main enemy']
McMillen,['Featuring']
Mercy Hartigan,['Main enemy']
Metaltron,['Main enemy']
Mickey Smith,"['Featuring', 'Companion(s)']"
Midnight entity,['Main enemy']
Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,['Main enemy']
Minotaur (The God Complex),['Main enemy']
Miranda Cleaves,['Main enemy']
Mire,['Main enemy']
Mister Sweet,['Main enemy']
Monk (species),['Main enemy']
Morax Queen,['Main enemy']
Mr Clever,['Main enemy']
Mr Smith,['Featuring']
Mummy (The Rings of Akhaten),['Main enemy']
Najia Khan,['Featuring']
Nardole,"['Featuring', 'Companion(s)']"
Nardole (Shadow World),['Companion(s)']
Nefertiti,['Companion(s)']
Neville Catchlove,['Main enemy']
Nikola Tesla,['Featuring']
Ninth Doctor,['Doctor']
Ninth Legion,['Featuring']
Noor Inayat Khan,['Featuring']
Ood,['Main enemy']
Ood (Death is the Only Answer),['Main enemy']
Ood (Pond Life),['Featuring']
Ood Sigma,['Featuring']
Paternoster Gang,['Featuring']
Peg doll (Night Terrors),['Main enemy']
Percy Shelley,['Featuring']
Perkins (Mummy on the Orient Express),['Featuring']
Pete Tyler,['Featuring']
Pete Tyler (Pete's World),['Featuring']
Petronella Osgood,['Featuring']
Pol-Kon-Don,['Main enemy']
Praxeus,['Main enemy']
Prisoner Zero,['Main enemy']
Psi,['Featuring']
Pting (The Tsuranga Conundrum),['Main enemy']
Queen of the Skithra,['Main enemy']
Rain God,['Main enemy']
Rakaya,['Main enemy']
Rassilon,['Main enemy']
Reaper,['Main enemy']
Reconnaissance Dalek,['Main enemy']
Remnant,['Main enemy']
Restac,['Main enemy']
Ribbons,['Main enemy']
Richard Lazarus,['Main enemy']
Richard Nixon,['Featuring']
Ricky Smith,['Featuring']
Rigsy,['Featuring']
River Song,"['Featuring', 'Companion(s)']"
Robin Hood,['Featuring']
Rory Williams,"['Featuring', 'Companion(s)']"
Rory Williams (Auton),['Companion(s)']
Rosa Parks,['Featuring']
Rose Tyler,"['Companion(s)', 'Featuring']"
Rosemary Kizlet,['Main enemy']
Rosita Farisi,['Companion(s)']
Ross Jenkins,['Featuring']
Rusty (Into the Dalek),['Featuring']
Ryan Sinclair,['Companion(s)']
Saibra,['Featuring']
Sandman (Sleep No More),['Main enemy']
Santa,['Featuring']
Santa Claus,['Featuring']
Saturnyn,['Main enemy']
Seb (The Caretaker),['Featuring']
Sentient oil,['Main enemy']
Shakri,['Main enemy']
Sheriff of Nottingham,['Main enemy']
Shoal of the Winter Harmony,['Main enemy']
Silent,['Main enemy']
Skaldak,['Main enemy']
Skovox Blitzer,['Main enemy']
Solitract,['Main enemy']
Solomon (Dinosaurs on a Spaceship),['Main enemy']
Sontarans,['Featuring']
Sonya Khan,['Featuring']
Sophie (The Lodger),['Featuring']
Spider germ,['Main enemy']
Staal,['Main enemy']
Stingray,['Main enemy']
Strax,['Featuring']
Suki Cheng,['Main enemy']
Supreme Dalek (The Stolen Earth),['Main enemy']
Supreme Dalek (Victory of the Daleks),['Main enemy']
Sutcliffe (Thin Ice),['Main enemy']
Sycorax leader,['Main enemy']
Sylvia Noble,['Featuring']
Tasha Lem,['Featuring']
Tenth Doctor,"['Featuring', 'Doctor']"
Tenth Doctor (Journey's End),['Featuring']
Teselecta,['Featuring']
The Alliance (The Pandorica Opens),['Main enemy']
The Beast (The Impossible Planet),['Main enemy']
The Curator,['Featuring']
The Doctor (Fugitive of the Judoon),['Featuring']
The Doctor's TARDIS,['Featuring']
The Editor,['Main enemy']
The Flood (The Waters of Mars),['Main enemy']
The Host,['Main enemy']
The Moment,['Featuring']
The Silence,['Main enemy']
The Veil,['Main enemy']
The Wire,['Main enemy']
Thirteenth Doctor,"['Featuring', 'Doctor']"
Thomas Edison,['Featuring']
Tibo,['Featuring']
Tim Latimer,['Featuring']
Time Beetle,['Main enemy']
Time Field,['Main enemy']
Time zombie,['Main enemy']
Tish Jones,['Featuring']
Torajii,['Main enemy']
Torchwood Institute,['Main enemy']
Toshiko Sato,['Featuring']
Twelfth Doctor,"['Featuring', 'Doctor']"
Twelfth Doctor (Shadow World),['Doctor']
Tzim-Sha,['Main enemy']
Vardy,['Main enemy']
Vashta Nerada,['Main enemy']
Vastra,['Featuring']
Victoria,['Featuring']
Vigil,['Main enemy']
Vincent van Gogh,['Featuring']
Weeping Angel,['Main enemy']
Weeping Angel (Good as Gold),['Main enemy']
Werewolf,['Main enemy']
Whisper Man,['Main enemy']
Wilfred Mott,"['Featuring', 'Companion(s)']"
William Shakespeare,['Featuring']
Winifred Gillyflower,['Main enemy']
Winston Churchill,['Featuring']
Yasmin Khan,['Companion(s)']
Yvonne Hartman,['Featuring']
Zellin,['Main enemy']
Zygon Kate Stewart,['Main enemy']
Zygon Osgood,['Featuring']
